Africa/Cote d'Ivoire/*/*	Africa/Côte d'Ivoire/*/*
Africa/Cote d'Ivoire/Tai National Park/*	Africa/Côte d'Ivoire/Bas-Sassandra/Tai National Park
Africa/Democratic Republic of Congo/Province Bandundu/*	Africa/Democratic Republic of Congo/Bandundu/*
Africa/Democratic Republic of Congo/Province Equateur/*	Africa/Democratic Republic of Congo/Équateur/*
Africa/Democratic Republic of Congo/Province Kasai Occidental/*	Africa/Democratic Republic of Congo/Kasaï-Occidental/*
Africa/Democratic Republic of Congo/Province Kasai Oriental/*	Africa/Democratic Republic of Congo/Kasaï-Oriental/*
Africa/Democratic Republic of Congo/Province P. Oriental/*	Africa/Democratic Republic of Congo/Orientale/*
Africa/Democratic Republic of Congo/Yangdongi/	Africa/Democratic Repubic of Congo/Mongala/Yangdongi
Africa/Democratic Republic of Congo/Zaire/*	Africa/Democratic Repubic qof Congo//
Europe/France/Paris/*	Europe/France/Ile de France/Paris FR
Europe/Italy/Fvg/Gorizia	Europe/Italy/Friuli Venezia Giulia/Gorizia
# Unclear which location is the real location
Europe/Netherlands/Utrecht/Rotterdam	Europe/Netherlands//
North America/USA/Washington/Dc	North America/USA/Washington DC/
