# Nuc coordinates valid for reference NC_063383 (MPXV-M5312_HM12_Rivers)
clade	gene	site	alt

A.1.1	nuc	34459	A
A.1.1	nuc	77383	G

# Just for B.1 build
outgroup	clade	A.1.1

B.1	clade	A.1.1
B.1	nuc	77383	A

B.1.1	clade	B.1
B.1.1	nuc	74360	A

B.1.2	clade	B.1
B.1.2	nuc	186165	A

B.1.3	clade	B.1
B.1.3	nuc	190660	A

C.1	clade	B.1.3
C.1	nuc	55133	A
C.1	nuc	64426	T
C.1	nuc	105923	A

B.1.4	clade	B.1
B.1.4	nuc	34308	A

B.1.5	clade	B.1
B.1.5	nuc	70780	T

B.1.6	clade	B.1
B.1.6	nuc	111029	A

B.1.7	clade	B.1
B.1.7	nuc	25644	T

B.1.8	clade	B.1
B.1.8	nuc	5595	A

B.1.9	clade	B.1
B.1.9	nuc	181367	A

B.1.10	clade	B.1
B.1.10	nuc	89906	T
B.1.10	nuc	94798	A

B.1.11	clade	B.1
B.1.11	nuc	18133	T
B.1.11	nuc	159277	A

B.1.12	clade	B.1
B.1.12	nuc	182950	T

B.1.13	clade	B.1
B.1.13	nuc	175093	A

B.1.14	clade	B.1
B.1.14	nuc	36617	A
B.1.14	nuc	159779	T

B.1.15	clade	B.1
B.1.15	nuc	149818	A
B.1.15	nuc	151362	A

B.1.16	clade	B.1
B.1.16	nuc	9389	T
B.1.16	nuc	161797	A
B.1.16	nuc	185557	C

B.1.17	clade	B.1
B.1.17	nuc	12169	A
B.1.17	nuc	44960	A

B.1.18	clade	B.1
B.1.18	nuc	43706	T
B.1.18	nuc	124690	C
B.1.18	nuc	141757	T

B.1.19	clade	B.1
B.1.19	nuc	9963	A
B.1.19	nuc	148268	T

B.1.20	clade	B.1
B.1.20	nuc	53326	A
B.1.20	nuc	164385	T
B.1.20	nuc	187620	T
