MPXV-UK_P2-001	J1L	001-chemokine-binding-protein	Chemokine binding protein (Cop-C23L); J1L; similar to Vaccinia virus strain Copenhagen C23L; most abundant secreted protein; CC-chemokine binding 
	NP_536428-chemokine-binding-protein-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	NP_536618-chemokine-binding-protein-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
MPXV-UK_P2-002	J2L	002-TNF-receptor	TNF receptor (CrmB) (Cop-C22L); J2L 
	NP_536429-J2L-[Monkeypox-virus-Zaire-96-I-16]	98.85(%id)	100.0(%cover)
	NP_536617-J2R-[Monkeypox-virus-Zaire-96-I-16]	98.85(%id)	100.0(%cover)
	YP_010085875-putative-C22L-protein-[Orthopoxvirus-Abatino]	95.13(%id)	100.0(%cover)
	YP_010085450-TNF-receptor-[Akhmeta-virus]	91.12(%id)	100.0(%cover)
	YP_010085667-TNF-receptor-[Akhmeta-virus]	91.12(%id)	100.0(%cover)
MPXV-UK_P2-003	J3L	003-ankyrin-like-protein	Ankyrin (Cop-C19L); J3L 
	NP_536430-J3L-[Monkeypox-virus-Zaire-96-I-16]	99.49(%id)	99.7(%cover)
	NP_536616-J1R-[Monkeypox-virus-Zaire-96-I-16]	99.49(%id)	99.7(%cover)
	YP_010085874-putative-C19L-protein-[Orthopoxvirus-Abatino]	92.86(%id)	100.0(%cover)
	NP_671690-K1R-[Ectromelia-virus]	93.53(%id)	99.8(%cover)
	NP_671520-EVM002-[Ectromelia-virus]	93.53(%id)	99.8(%cover)
	YP_717313-ankyrin-like-protein-[Taterapox-virus]	91.67(%id)	100.0(%cover)
	YP_717527-ankyrin-like-protein-[Taterapox-virus]	91.67(%id)	100.0(%cover)
	NP_570599-CMLV209-[Camelpox-virus]	91.16(%id)	100.0(%cover)
	NP_570393-CMLV003-[Camelpox-virus]	91.16(%id)	100.0(%cover)
MPXV-UK_P2-004	D1L	004-ankyrin-like-protein	Ankyrin (CPXV-017); D1L 
	NP_536431-ankyrin-like-protein-[Monkeypox-virus-Zaire-96-I-16]	99.31(%id)	100.0(%cover)
