PPX_accession	PPX_accession__url	PPX_accession_version	PPX_accession_version__url	INSDC_accession_version	INSDC_accession_version__url	strain	date	region	country	division	location	length	host	date_released	date_updated	sra_accession	authors	full_authors	institution	dataUseTerms	dataUseTerms__url	restrictedUntil	displayName	Pathoplexus_group	Pathoplexus_group_id	Pathoplexus_group__url	submission_database	clade	outbreak	lineage	coverage	missing_data	divergence	nonACGTN	private_substitutions	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement
PP_000SQA5	https://pathoplexus.org/seq/PP_000SQA5	PP_000SQA5.1	https://pathoplexus.org/seq/PP_000SQA5.1	PQ221719.1	https://www.ncbi.nlm.nih.gov/nuccore/PQ221719.1	23MPX0647V	2023-06-15	Africa	Democratic Republic of the Congo	Tshopo,Bengamisa		196803	Homo sapiens	2024-10-16	2024-12-09		Kinganda Lusamaki et al.	Kinganda Lusamaki, E.; Amuri Aziza, A.; Luakanda Ndelemo, G.; Hasivirwe Vakaniaki, E.; Fernandez Nunez, N.; Pratt, C. B.; Akil Bandali, P.; Makangara Cigolo, J.-C.; Hoff, N. A.; Sabiti Nundu, S.; Mulopo Mukanya, N.; Ngimba, M.; Modrada Madakpa, B.; Diavita, R.; Paku Tshambu, P.; Pukuta Simbu, E.; Merritt, S.; O'Toole, A.; Low, N.; Nkuba Ndaye, A.; Kavunga Membo, H.; Shongo, R.; Malembi, E.; Kalonji, T.; Kacita, C.; Lokilo Lofiko, E.; Kavira Bapitani, S.; Rilia, O.; Muswamba, P.-C.; Muyembe Mawete, F.; Lumembe, R.; Kabamba, G.; Kenye, M.; Citenga, A.; Cikaya, F.; Yungwe, Z.; Matondo, M.; Kasongo, F.; Tshiminyi, P.; Bulabula, J.; Nkawa, F.; Muhindo Milonde, E.; Kavira Kamaliro, A.; Paluku Kalimuli, Z.; Bodisa Matamu, T.; Mubalama Mufungizi, J.; Wiley, M. R.; Devos, E.; Bangwen, E.; Brosius, I.; Parker, E.; Pilarowski, G.; Liesenborghs, L.; Wawina Bokalanga, T.; Vercauteren, K.; Mukadi Bamuleka, D.; Subissi, L.; Muyembe, J.-J.; Kindrachuk, J.; Guichet, E.; Ayouba, A.; Rambaut, A.; Delaporte, E.; Tessema, S. K.; D'Ortenzio, E.; Rimoin, A. W.; Hensley, L. E.; Mbala Kingebeni, P.; Peeters, M.; Ahuka Mundeke, S.	Institut National de Recherche Biomedicale, Pathogen Genomic Laboratory	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		Democratic_Republic_of_the_Congo/PP_000SQA5.1/2023-06-15	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	Ia			0.9991988195264921	143	841	15	5	good	mediocre	good	bad	good	OPG003:4-589,OPG047:477-482,OPG050:71-76,OPG105:286-1287,OPG164:229,OPG180:556-560,OPG191:167-169,OPG003_dup:4-589	false
PP_000T4J6	https://pathoplexus.org/seq/PP_000T4J6	PP_000T4J6.1	https://pathoplexus.org/seq/PP_000T4J6.1	MK783030.1	https://www.ncbi.nlm.nih.gov/nuccore/MK783030.1	MK783030.1	2017-11-30	Africa	Nigeria	Rivers		197566	Homo sapiens	2019-07-24	2024-12-09		Yinka-Ogunleye et al.	Yinka-Ogunleye, A.; Aruna, O.; Dalhat, M.; Ogoina, D.; McCollum, A.; Disu, Y.; Mamadu, I.; Akinpelu, A.; Ahmad, A.; Burga, J.; Ndoreraho, A.; Nkunzimana, E.; Manneh, L.; Mohammed, A.; Adeoye, O.; Tom-Aba, D.; Silenou, B.; Ipadeola, O.; Saleh, M.; Adeyemo, A.; Nwadiutor, I.; Aworabhi, N.; Uke, P.; John, D.; Wakama, P.; Reynolds, M.; Mauldin, M.; Doty, J.; Wilkins, K.; Musa, J.; Khalakdina, A.; Adedeji, A.; Mba, N.; Ojo, O.; Krause, G.; Ihekweazu, C.; Mauldin, M. R.; Li, Y.; Gao, J.	CDC, NCEZID/DHCPP/PRB	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		Nigeria/PP_000T4J6.1/2017-11-30	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIb	sh2017	A	0.9979514119538155	4	15	0	5	good	good	good	good	good		false
PP_000T4L2	https://pathoplexus.org/seq/PP_000T4L2	PP_000T4L2.1	https://pathoplexus.org/seq/PP_000T4L2.1	MK783032.1	https://www.ncbi.nlm.nih.gov/nuccore/MK783032.1	MK783032.1	2017-11-XX	Africa	Nigeria	Rivers		197566	Homo sapiens	2019-07-24	2024-12-09		Yinka-Ogunleye et al.	Yinka-Ogunleye, A.; Aruna, O.; Dalhat, M.; Ogoina, D.; McCollum, A.; Disu, Y.; Mamadu, I.; Akinpelu, A.; Ahmad, A.; Burga, J.; Ndoreraho, A.; Nkunzimana, E.; Manneh, L.; Mohammed, A.; Adeoye, O.; Tom-Aba, D.; Silenou, B.; Ipadeola, O.; Saleh, M.; Adeyemo, A.; Nwadiutor, I.; Aworabhi, N.; Uke, P.; John, D.; Wakama, P.; Reynolds, M.; Mauldin, M.; Doty, J.; Wilkins, K.; Musa, J.; Khalakdina, A.; Adedeji, A.; Mba, N.; Ojo, O.; Krause, G.; Ihekweazu, C.; Mauldin, M. R.; Li, Y.; Gao, J.	CDC, NCEZID/DHCPP/PRB	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		Nigeria/PP_000T4L2.1/2017-11	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIb	sh2017	A	0.9979716950037777	0	14	0	4	good	good	good	good	good		false
PP_000T6FB	https://pathoplexus.org/seq/PP_000T6FB	PP_000T6FB.2	https://pathoplexus.org/seq/PP_000T6FB.2	OK573035.1	https://www.ncbi.nlm.nih.gov/nuccore/OK573035.1	USA-2003	XXXX-XX-XX	North America	USA	Maryland		1164		2022-07-30	2025-02-03	SRR10017689	Shashan et al.	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		USA/PP_000T6FB.2	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIa			0.01269211851386093	0	25	0	24	good	good	good	mediocre	good	OPG165:22-37,OPG165:86-269,OPG167:160-278	false
PP_000T6L0	https://pathoplexus.org/seq/PP_000T6L0	PP_000T6L0.2	https://pathoplexus.org/seq/PP_000T6L0.2	OK573040.1	https://www.ncbi.nlm.nih.gov/nuccore/OK573040.1	USA-2003	XXXX-XX-XX	North America	USA	Maryland		931		2022-07-30	2025-02-03	SRR10017689	Shashan et al.	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		USA/PP_000T6L0.2	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIa			0.00471073835372625	0	4	0	0	good	good	good	good	good		false
PP_000T7DE	https://pathoplexus.org/seq/PP_000T7DE	PP_000T7DE.2	https://pathoplexus.org/seq/PP_000T7DE.2	OK573067.1	https://www.ncbi.nlm.nih.gov/nuccore/OK573067.1	USA-2003	XXXX-XX-XX	North America	USA	Maryland		571		2022-07-30	2025-02-03	SRR10017689	Shashan et al.	Shashan, N.; Makarenko, J.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Myers, T.; Yan, Y.; Sichtig, H.	US Food and Drug Administration, Center for Devices and Radiological Health	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		USA/PP_000T7DE.2	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	Ib/IIb	recombinant		0.0073931717112302175	0	3	0	3	good	good	good	good	good	OPG034:30-31	false
PP_000TGLQ	https://pathoplexus.org/seq/PP_000TGLQ	PP_000TGLQ.1	https://pathoplexus.org/seq/PP_000TGLQ.1	ON813263.2	https://www.ncbi.nlm.nih.gov/nuccore/ON813263.2	MPXV/Germany/2022/RKI063	2022-06-XX	Europe	Germany			197139	Homo sapiens	2022-06-22	2024-12-09		Brinkmann et al.	Brinkmann, A.; Kohl, C.; Uddin, S.; Pape, K.; Schrick, L.; Michel, J.; Schaade, L.; Nitsche, A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		Germany/PP_000TGLQ.1/2022-06	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIb	sh2017	B.1.2	0.9995994097632461	78	70	0	2	good	good	good	good	good		false
PP_000TY71	https://pathoplexus.org/seq/PP_000TY71	PP_000TY71.1	https://pathoplexus.org/seq/PP_000TY71.1	OP245321.1	https://www.ncbi.nlm.nih.gov/nuccore/OP245321.1	MPX/PT0067/2022	2022-07-26	Europe	Portugal			196267	Homo sapiens	2022-08-17	2024-12-09		Isidro et al.	Isidro, J.; Borges, V.; Pinto, M.; Sobral, D.; Santos, J.; Nunes, A.; Mixao, V.; Ferreira, R.; Santos, D.; Duarte, S.; Vieira, L.; Borrego, M. J.; Nuncio, S.; Lopes de Carvalho, I.; Pelerito, A.; Cordeiro, R.; Gomes, J. P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		Portugal/PP_000TY71.1/2022-07-26	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIb	sh2017	B.1.1	0.961812087683625	6597	71	0	0	good	good	good	good	good		false
PP_000TZN3	https://pathoplexus.org/seq/PP_000TZN3	PP_000TZN3.2	https://pathoplexus.org/seq/PP_000TZN3.2	OP257254.1	https://www.ncbi.nlm.nih.gov/nuccore/OP257254.1	MpxV/human/USA/OH-UW-073812/2022	2022-08-XX	North America	USA	Ohio		197176	Homo sapiens	2022-08-19	2025-02-03	SRR21236092	Sereewit et al.	Sereewit, J.; Xie, H.; Roychoudhury, P.; Greninger, A. L.	UW Virology, Laboratory Medicine	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		USA/PP_000TZN3.2/2022-08	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIb	sh2017	B.1.13	0.9999340800876227	13	69	0	0	good	good	good	good	good		false
PP_000U63Z	https://pathoplexus.org/seq/PP_000U63Z	PP_000U63Z.1	https://pathoplexus.org/seq/PP_000U63Z.1	OP324533.2	https://www.ncbi.nlm.nih.gov/nuccore/OP324533.2	Monkeypox/PT0223/2022	2022-06-24	Europe	Portugal			195368	Homo sapiens	2022-08-29	2024-12-09		Isidro et al.	Isidro, J.; Borges, V.; Pinto, M.; Sobral, D.; Santos, J.; Nunes, A.; Mixao, V.; Ferreira, R.; Santos, D.; Duarte, S.; Vieira, L.; Borrego, M. J.; Nuncio, S.; Lopes de Carvalho, I.; Pelerito, A.; Cordeiro, R.; Gomes, J. P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		Portugal/PP_000U63Z.1/2022-06-24	Automated Ingest from INSDC/NCBI Virus by Loculus	1	https://pathoplexus.org/group/1	INSDC	IIb	sh2017	B.1.9	0.9562342489440138	7715	68	0	1	good	good	good	good	good	OPG023:526-661	false
